benchmark,result,time_real
smtcomp_292.smt2,unknown,1201.0
smtcomp_293.smt2,unknown,1201.0
smtcomp_294.smt2,unknown,1201.0
smtcomp_295.smt2,unknown,1201.0
smtcomp_296.smt2,unknown,1201.0
smtcomp_297.smt2,unknown,1201.0
smtcomp_298.smt2,unknown,1201.0
smtcomp_299.smt2,unknown,1201.0
smtcomp_300.smt2,unknown,1201.0
smtcomp_301.smt2,unknown,1201.0
smtcomp_302.smt2,unknown,1201.0
smtcomp_303.smt2,sat,6.6
smtcomp_304.smt2,sat,159.9
smtcomp_305.smt2,sat,7.5
smtcomp_306.smt2,unknown,1201.0
smtcomp_307.smt2,unknown,1201.0
smtcomp_308.smt2,unknown,1201.0
smtcomp_309.smt2,unknown,1201.0
smtcomp_310.smt2,unknown,1201.0
smtcomp_311.smt2,unknown,1201.0
smtcomp_312.smt2,unknown,1201.0
smtcomp_313.smt2,unknown,1201.0
smtcomp_314.smt2,unknown,1201.0
smtcomp_315.smt2,unknown,1201.0
smtcomp_316.smt2,unknown,1201.0
smtcomp_317.smt2,unknown,1201.0
smtcomp_318.smt2,unknown,1201.0
smtcomp_319.smt2,unknown,1201.0
smtcomp_320.smt2,unknown,1201.0
smtcomp_321.smt2,unknown,1201.0
smtcomp_322.smt2,unknown,1201.0
smtcomp_323.smt2,unknown,1201.0
smtcomp_324.smt2,unknown,1201.0
smtcomp_325.smt2,unknown,1201.0
smtcomp_326.smt2,unknown,1201.0
smtcomp_327.smt2,unknown,1201.0
smtcomp_328.smt2,unknown,1201.0
smtcomp_329.smt2,unknown,1201.0
smtcomp_330.smt2,unknown,1201.0
smtcomp_331.smt2,unknown,1201.0
smtcomp_332.smt2,unknown,1201.0
smtcomp_333.smt2,unknown,1201.0
smtcomp_334.smt2,unknown,1201.0
smtcomp_335.smt2,unknown,1201.0
smtcomp_336.smt2,unknown,1201.0
smtcomp_337.smt2,unknown,1201.0
smtcomp_338.smt2,unknown,1201.0
smtcomp_339.smt2,unknown,1201.0
smtcomp_340.smt2,unknown,1201.0
smtcomp_341.smt2,unknown,1201.0
smtcomp_342.smt2,unknown,1201.0
smtcomp_343.smt2,unknown,1201.0
smtcomp_344.smt2,unknown,1201.0
smtcomp_345.smt2,unknown,1201.0
smtcomp_346.smt2,unknown,1201.0
smtcomp_347.smt2,unknown,1201.0
smtcomp_348.smt2,unknown,1201.0
smtcomp_349.smt2,unknown,1201.0
smtcomp_350.smt2,unknown,1201.0
smtcomp_351.smt2,unknown,1201.0
smtcomp_352.smt2,unknown,1201.0
smtcomp_353.smt2,unknown,1201.0
smtcomp_354.smt2,sat,0.5
smtcomp_355.smt2,sat,0.9
smtcomp_356.smt2,sat,0.9
smtcomp_357.smt2,sat,0.5
smtcomp_358.smt2,sat,0.5
smtcomp_359.smt2,unknown,1148.3
smtcomp_360.smt2,sat,0.6
smtcomp_361.smt2,unknown,1201.0
smtcomp_362.smt2,unknown,0.6
smtcomp_363.smt2,sat,1.4
smtcomp_364.smt2,sat,0.4
smtcomp_365.smt2,unknown,282.3
smtcomp_366.smt2,unknown,279.7
smtcomp_367.smt2,unknown,290.0
smtcomp_368.smt2,sat,0.4
smtcomp_369.smt2,unknown,1.1
smtcomp_370.smt2,unknown,2.2
smtcomp_371.smt2,sat,0.4
smtcomp_372.smt2,sat,0.4
smtcomp_373.smt2,sat,0.8
smtcomp_374.smt2,unknown,0.1
smtcomp_375.smt2,unknown,0.1
smtcomp_376.smt2,unknown,1201.0
smtcomp_377.smt2,unknown,1201.0
smtcomp_378.smt2,unknown,1201.0
smtcomp_379.smt2,unknown,1201.0
smtcomp_380.smt2,unknown,1201.0
smtcomp_381.smt2,unknown,1201.0
smtcomp_382.smt2,unknown,1201.0
smtcomp_383.smt2,unknown,1201.0
smtcomp_384.smt2,unknown,1201.0
smtcomp_385.smt2,unknown,1201.0
smtcomp_386.smt2,unknown,1201.0
smtcomp_387.smt2,unknown,1201.0
smtcomp_388.smt2,unknown,1201.0
smtcomp_389.smt2,unknown,1201.0
smtcomp_390.smt2,unknown,1201.0
smtcomp_391.smt2,unknown,1201.0
smtcomp_392.smt2,unknown,1201.0
smtcomp_393.smt2,unknown,1201.0
smtcomp_394.smt2,unknown,1201.0
smtcomp_395.smt2,unknown,1201.0
smtcomp_396.smt2,unknown,1201.0
smtcomp_397.smt2,unknown,1201.0
smtcomp_398.smt2,unknown,1201.0
smtcomp_399.smt2,unknown,1201.0
_array_monotonic.i_3_2_2.bpl_11.smt2,unsat,847.0
_array_ptr_single_elem_init.i_4_2_2.bpl_7.smt2,unknown,1201.0
_array_single_elem_init.i_4_2_2.bpl_7.smt2,unknown,1201.0
_const1.i_3_6_2.bpl_11.smt2,unknown,1201.0
_gj2007.c.i_4_3_3.bpl_11.smt2,unknown,1201.0
_nested9.i_5_6_6.bpl_7.smt2,sat,860.5
_overflow1.i_3_8_2.bpl_11.smt2,unknown,1201.0
_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2,unknown,1201.0
_simple1.i_3_6_2.bpl_11.smt2,unknown,1201.0
_simple4.i_3_4_2.bpl_11.smt2,unknown,1201.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11.smt2,unknown,1201.0
_standard_copy7_ground.i_3_2_2.bpl_7.smt2,unsat,1115.0
_standard_init5_ground.i_3_2_2.bpl_7.smt2,unsat,645.8
_standard_init6_ground.i_3_2_2.bpl_7.smt2,unsat,768.2
_standard_init7_ground.i_3_2_2.bpl_7.smt2,unsat,881.4
_standard_init9_ground.i_3_2_2.bpl_7.smt2,unknown,1201.0
_standard_partial_init_ground.i_3_2_2.bpl_11.smt2,unsat,621.0
_standard_strcmp_ground.i_4_2_2.bpl_11.smt2,unsat,915.4
_standard_strcpy_original.i_3_3_2.bpl_11.smt2,unsat,843.8
_standard_two_index_04.i_3_2_2.bpl_11.smt2,unsat,777.2
_standard_two_index_05.i_3_2_2.bpl_11.smt2,unsat,725.9
_standard_two_index_06.i_3_2_2.bpl_11.smt2,unsat,886.5
0084-labyrinth-17-0.smt2,sat,712.8
0110-labyrinth-16-0.smt2,sat,708.1
0150-labyrinth-16-0.smt2,unknown,1201.0
0159-labyrinth-20-0.smt2,sat,1090.1
0198-labyrinth-19-0.smt2,unknown,1201.0
0206-labyrinth-20-0.smt2,unknown,1201.0
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate.smt2,sat,723.1
brp_withassume.t2.c_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2,sat,802.4
brp_withassume.t2.c_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate.smt2,unknown,1201.0
brp_withassume.t2.c_Iteration8_Loop_4-pieceTemplate.smt2,unknown,1201.0
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2,sat,1125.7
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
disj_nightmare.t2.c_Iteration2_Loop_4-pieceTemplate.smt2,sat,1154.5
eric.t2.c_Iteration1_Lasso_3-pieceTemplate.smt2,sat,780.8
eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate.smt2,unknown,1201.0
firewire.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate.smt2,unknown,1201.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
hongyi1.t2.c_Iteration1_Loop_3-pieceTemplate.smt2,sat,1017.9
hongyi1.t2.c_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
hongyi1.t2.c_Iteration1_Loop_6-phaseTemplate.smt2,unknown,1201.0
hongyi1.t2.c_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
hongyi1.t2.c_Iteration9_Loop_3-pieceTemplate.smt2,sat,765.8
hongyi1.t2.c_Iteration9_Loop_4-pieceTemplate.smt2,unknown,1201.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate.smt2,unknown,1201.0
hongyi1.t2.c_Iteration9_Loop_7-phaseTemplate.smt2,unknown,1201.0
sas2.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2,sat,1065.6
sas2.t2.c_Iteration5_Lasso_4-pieceTemplate.smt2,unknown,1201.0
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate.smt2,sat,989.6
sas2.t2.c_Iteration6_Lasso_4-pieceTemplate.smt2,unknown,1201.0
sas2.t2.c_Iteration7_Loop_4-pieceTemplate.smt2,unsat,1063.2
sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2,unknown,1201.0
sumit.t2.c_Iteration2_Loop_7-phaseTemplate.smt2,sat,890.0
Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unsat,988.9
Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2,unsat,965.8
BradleyMannaSipma-2005CAV-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,sat,1126.8
BradleyMannaSipma-2005CAV-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2,sat,758.6
BradleyMannaSipma-2005ICALP-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2,unknown,1201.0
CookSeeZuleger-2013TACAS-Fig7b_true-termination.c_Iteration1_Loop_3-nestedTemplate.smt2,unknown,1201.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2,unknown,1201.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2,unsat,1108.3
GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2,unknown,1201.0
KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2,unsat,1065.3
KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2,unknown,1201.0
LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_4-pieceTemplate.smt2,unknown,1201.0
LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_5-phaseTemplate.smt2,unsat,854.4
LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Loop_7-phaseTemplate.smt2,unsat,644.3
NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2,unsat,758.1
NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2,unknown,1201.0
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_3-pieceTemplate.smt2,unknown,1201.0
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
aviad_true-termination.c_Iteration1_Loop_2-pieceTemplate.smt2,unknown,1201.0
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate.smt2,unknown,1201.0
aviad_true-termination.c_Iteration1_Loop_5-phaseTemplate.smt2,unknown,1201.0
aviad_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2,unknown,1201.0
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate.smt2,unknown,1201.0
aviad_true-termination.c_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
BenAmram-2010LMCS-Ex2.3.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,unsat,641.6
BenAmram-2010LMCS-Ex2.3.bpl_Iteration1_Loop_4-pieceTemplate.smt2,unsat,631.1
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,unknown,1201.0
Braverman-2006CAV-Ex1-int.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
Collatz.bpl_Iteration1_Loop_3-pieceTemplate.smt2,unknown,1201.0
Collatz.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
GcdNew.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,sat,1137.6
GcdNew.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,sat,692.1
MenloPark.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
OpposedDisjuncts.bpl_Iteration1_Lasso_3-pieceTemplate.smt2,unknown,1201.0
OpposedDisjuncts.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,unknown,1201.0
SyntaxSupportDivision1.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,sat,760.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate.smt2,sat,1041.7
bound-scaled400.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
bound-scaled600.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
simple-scaled100.bpl_Iteration1_Lasso_3-pieceTemplate.smt2,unknown,1201.0
simple-scaled100.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
simple-scaled100.bpl_Iteration1_Lasso_6-phaseTemplate.smt2,sat,722.9
simple-scaled100.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,unknown,1201.0
simple-scaled200.bpl_Iteration1_Lasso_2-pieceTemplate.smt2,sat,650.7
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate.smt2,unknown,1201.0
simple-scaled200.bpl_Iteration1_Lasso_4-pieceTemplate.smt2,unknown,1201.0
simple-scaled200.bpl_Iteration1_Lasso_5-phaseTemplate.smt2,sat,669.2
simple-scaled200.bpl_Iteration1_Lasso_6-phaseTemplate.smt2,unknown,1201.0
simple-scaled200.bpl_Iteration1_Lasso_7-phaseTemplate.smt2,unknown,1201.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate.smt2,sat,1124.0
simple-scaled250.bpl_Iteration1_Lasso_6-phaseTemplate.smt2,unknown,1201.0
yPositive-SIscaled100.bpl_Iteration1_Loop_3-pieceTemplate.smt2,unsat,1069.7
yPositive-SIscaled100.bpl_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
yPositive-SIscaled100.bpl_Iteration1_Loop_5-phaseTemplate.smt2,sat,1115.4
yPositive-SIscaled100.bpl_Iteration1_Loop_6-phaseTemplate.smt2,unknown,1201.0
yPositive-SIscaled100.bpl_Iteration1_Loop_7-phaseTemplate.smt2,unknown,1201.0
yPositive-SIscaled50.bpl_Iteration1_Loop_7-phaseTemplate.smt2,sat,816.7
yPositive-SIscaled75.bpl_Iteration1_Loop_3-pieceTemplate.smt2,unknown,1201.0
yPositive-SIscaled75.bpl_Iteration1_Loop_4-pieceTemplate.smt2,unknown,1201.0
yPositive-SIscaled75.bpl_Iteration1_Loop_6-phaseTemplate.smt2,unknown,1201.0
